questionText,questionType,option1,option1Correct,option2,option2Correct,option3,option3Correct,option4,option4Correct,points
"Which of the following is NOT a type of force?",multiple-choice,"Tensile",FALSE,"Compressive",FALSE,"Velocity",TRUE,"Shear",FALSE,1
"What type of force pulls a material apart?",multiple-choice,"Shear",FALSE,"Tensile",TRUE,"Compressive",FALSE,"Torsion",FALSE,1
"Which force pushes a material together?",multiple-choice,"Tensile",FALSE,"Compressive",TRUE,"Shear",FALSE,"Torsion",FALSE,1
"Shear force acts in which direction relative to the stress plane?",multiple-choice,"Perpendicular",FALSE,"Parallel",TRUE,"Opposite",FALSE,"Random",FALSE,1
"Torsion refers to what kind of stress?",multiple-choice,"Bending",FALSE,"Twisting",TRUE,"Pushing",FALSE,"Pulling",FALSE,1
"What type of load remains constant over time?",multiple-choice,"Static",TRUE,"Dynamic",FALSE,"Uniform",FALSE,"Cyclic",FALSE,1
"A load that fluctuates on a material is called?",multiple-choice,"Static",FALSE,"Point",FALSE,"Dynamic",TRUE,"Distributed",FALSE,1
"Which type of load is spread uniformly along a beam?",multiple-choice,"Point Load",FALSE,"Uniformly Distributed Load (UDL)",TRUE,"Uniformly Varying Load (UVL)",FALSE,"Concentrated Load",FALSE,1
"Which of the following is NOT a factor that generates forces?",multiple-choice,"Gravity",FALSE,"Electromagnetism",FALSE,"Wind",FALSE,"Temperature",TRUE,1
"Which of these is an example of a contact force?",multiple-choice,"Gravity",FALSE,"Magnetic force",FALSE,"Friction",TRUE,"Electrostatic force",FALSE,1
"What is the definition of stress in mechanics?",multiple-choice,"The force applied to an object",FALSE,"The resistance of a material to deformation",TRUE,"The deformation of a material",FALSE,"The energy absorbed by a material",FALSE,1
"What is strain?",multiple-choice,"Force per unit area",FALSE,"The change in length per unit original length",TRUE,"The resistance of a material to force",FALSE,"The twisting of a material",FALSE,1
"The stress-strain curve of ductile materials shows which three main stages?",multiple-choice,"Elastic limit, Ultimate stress, Fracture stress",TRUE,"Elastic, Plastic, Shear",FALSE,"Compression, Bending, Shear",FALSE,"None of the above",FALSE,1
"Which material is an example of a brittle material?",multiple-choice,"Steel",FALSE,"Copper",FALSE,"Cast Iron",TRUE,"Rubber",FALSE,1
"Which of the following is a characteristic of ductile materials?",multiple-choice,"No plastic deformation before fracture",FALSE,"Necking before fracture",TRUE,"Sudden failure",FALSE,"Poor heat conduction",FALSE,1
"What type of fracture does a ductile material undergo?",multiple-choice,"Cup-and-cone fracture",TRUE,"Brittle fracture",FALSE,"Sudden fracture",FALSE,"No fracture",FALSE,1
"Brittle materials typically have a ______ Young's modulus and ultimate stress.",multiple-choice,"Low",FALSE,"Medium",FALSE,"High",TRUE,"Zero",FALSE,1
"Which of the following best describes Poisson's ratio?",multiple-choice,"Ratio of compressive to tensile stress",FALSE,"Ratio of lateral strain to axial strain",TRUE,"Ratio of stress to strain",FALSE,"Ratio of load to area",FALSE,1
"In structural beams, what is the name of a beam that has supports at both ends?",multiple-choice,"Cantilever beam",FALSE,"Simply supported beam",TRUE,"Continuous beam",FALSE,"Fixed beam",FALSE,1
"Which beam type has more than two supports?",multiple-choice,"Simply supported beam",FALSE,"Continuous beam",TRUE,"Cantilever beam",FALSE,"Fixed beam",FALSE,1
"What is the primary function of beams in structures?",multiple-choice,"Support axial loads",FALSE,"Transmit loads to supports",TRUE,"Prevent vibrations",FALSE,"Provide insulation",FALSE,1
"Which type of support resists vertical forces only?",multiple-choice,"Roller support",TRUE,"Hinge support",FALSE,"Fixed support",FALSE,"Cantilever support",FALSE,1
"What is the purpose of a bending moment diagram?",multiple-choice,"To determine stress distribution",TRUE,"To find the total weight of a beam",FALSE,"To measure deflection",FALSE,"To calculate stiffness",FALSE,1
"Which of the following best describes the function of shear force in a beam?",multiple-choice,"Twisting of the beam",FALSE,"Resisting bending",TRUE,"Causing tensile stress",FALSE,"Preventing buckling",FALSE,1
"What does a point load represent in structural analysis?",multiple-choice,"A load applied over a large area",FALSE,"A load acting at a specific point",TRUE,"A uniform load spread over the length of a beam",FALSE,"A fluctuating load",FALSE,1
"The sum of all vertical forces in a beam in equilibrium must be?",multiple-choice,"Equal to the sum of horizontal forces",FALSE,"Equal to zero",TRUE,"Equal to the bending moment",FALSE,"Equal to the applied force",FALSE,1
"Which material would have the highest ductility?",multiple-choice,"Cast iron",FALSE,"Glass",FALSE,"Copper",TRUE,"Concrete",FALSE,1
"A structural member subjected to axial tensile force will experience?",multiple-choice,"Compression",FALSE,"Elongation",TRUE,"Bending",FALSE,"Torsion",FALSE,1
"Which of the following properties is related to a material's resistance to bending?",multiple-choice,"Modulus of Elasticity",TRUE,"Poisson's Ratio",FALSE,"Shear Stress",FALSE,"Hardness",FALSE,1
"The modulus of elasticity (Young's modulus) relates to which mechanical property?",multiple-choice,"Stiffness",TRUE,"Toughness",FALSE,"Hardness",FALSE,"Ductility",FALSE,1
"Which of the following best defines Mechanics?",multiple-choice,"Study of motion only",FALSE,"Study of forces acting on a body at rest or in motion",TRUE,"Study of rigid bodies only",FALSE,"Study of electrical forces",FALSE,1
"What are the two main branches of Mechanics?",multiple-choice,"Dynamics and Thermodynamics",FALSE,"Statics and Dynamics",TRUE,"Kinetics and Kinematics",FALSE,"Fluid Mechanics and Solid Mechanics",FALSE,1
"Which of the following correctly describes Statics?",multiple-choice,"Study of forces acting on a body in motion",FALSE,"Study of forces acting on a body in equilibrium",TRUE,"Study of forces without considering motion",FALSE,"Study of forces acting on fluids only",FALSE,1
